vial,day,adults
A3_R4_2.25,9,
A3_R4_2.25,10,
A3_R4_2.25,11,
A3_R4_2.25,12,1
A3_R4_2.25,13,1
A3_R4_2.25,14,
A3_R4_2.5,5,
A3_R4_2.5,6,
A3_R4_2.5,7,
A3_R4_2.5,8,
A3_R4_2.5,9,1
A3_R4_2.5,10,1
A3_R4_2.5,11,1
A3_R4_2.5,12,
A3_R4_2.5,13,
A3_R4_2.5,14,
A3_R4_3,5,
A3_R4_3,6,
A3_R4_3,7,
A3_R4_3,8,
A3_R4_3,9,
A3_R4_3,10,
A3_R4_3,11,
A3_R4_3,12,
A3_R4_3,13,
A3_R4_3,14,
A3_R4_4,5,
A3_R4_4,6,
A3_R4_4,7,
A3_R4_4,8,
A3_R4_4,9,
A3_R4_4,10,
A3_R4_4,11,
A3_R4_4,12,
A3_R4_4,13,
A3_R4_4,14,
A3_R4_5,5,
A3_R4_5,6,
A3_R4_5,7,
A3_R4_5,8,
A3_R4_5,9,
A3_R4_5,10,
A3_R4_5,11,
A3_R4_5,12,
A3_R4_5,13,
A3_R4_5,14,
A3_R5_0.0,5,
A3_R5_0.0,6,
A3_R5_0.0,7,
A3_R5_0.0,8,
A3_R5_0.0,9,1
A3_R5_0.0,10,5
A3_R5_0.0,11,2
A3_R5_0.0,12,
A3_R5_0.0,13,1
A3_R5_0.0,14,
A3_R5_0.5,5,
A3_R5_0.5,6,
A3_R5_0.5,7,
A3_R5_0.5,8,1
A3_R5_0.5,9,3
A3_R5_0.5,10,3
A3_R5_0.5,11,
A3_R5_0.5,12,
A3_R5_0.5,13,
A3_R5_0.5,14,
A3_R5_1.25,5,
A3_R5_1.25,6,
A3_R5_1.25,7,
A3_R5_1.25,8,
A3_R5_1.25,9,2
A3_R5_1.25,10,1
A3_R5_1.25,11,
A3_R5_1.25,12,
A3_R5_1.25,13,
A3_R5_1.25,14,
A3_R5_1.5,5,
A3_R5_1.5,6,
A3_R5_1.5,7,
A3_R5_1.5,8,
A3_R5_1.5,9,2
A3_R5_1.5,10,
A3_R5_1.5,11,
A3_R5_1.5,12,1
A3_R5_1.5,13,1
A3_R5_1.5,14,
A3_R5_1.75,5,
A3_R5_1.75,6,
A3_R5_1.75,7,
A3_R5_1.75,8,
A3_R5_1.75,9,1
A3_R5_1.75,10,2
A3_R5_1.75,11,2
A3_R5_1.75,12,
A3_R5_1.75,13,
A3_R5_1.75,14,
A3_R5_2.25,5,
A3_R5_2.25,6,
A3_R5_2.25,7,
A3_R5_2.25,8,1
A3_R5_2.25,9,1
A3_R5_2.25,10,
A3_R5_2.25,11,2
A3_R5_2.25,12,
A3_R5_2.25,13,
A3_R5_2.25,14,
A3_R5_2.5,5,
A3_R5_2.5,6,
A3_R5_2.5,7,
A3_R5_2.5,8,
A3_R5_2.5,9,1
A3_R5_2.5,10,1
A3_R5_2.5,11,
A3_R5_2.5,12,
A3_R5_2.5,13,
A3_R5_2.5,14,
A3_R5_3,5,
A3_R5_3,6,
A3_R5_3,7,
A3_R5_3,8,1
A3_R5_3,9,
A3_R5_3,10,
A3_R5_3,11,
A3_R5_3,12,
A3_R5_3,13,
A3_R5_3,14,
A3_R5_4,5,
A3_R5_4,6,
A3_R5_4,7,
A3_R5_4,8,
A3_R5_4,9,
A3_R5_4,10,
A3_R5_4,11,
A3_R5_4,12,
A3_R5_4,13,
A3_R5_4,14,
A3_R5_5,5,
A3_R5_5,6,
A3_R5_5,7,
A3_R5_5,8,
A3_R5_5,9,
A3_R5_5,10,
A3_R5_5,11,
A3_R5_5,12,
A3_R5_5,13,
A3_R5_5,14,
w118_R1_0.0,5,
w118_R1_0.0,6,
w118_R1_0.0,7,
w118_R1_0.0,8,
w118_R1_0.0,9,10
w118_R1_0.0,10,7
w118_R1_0.0,11,1
w118_R1_0.0,12,
w118_R1_0.0,13,
w118_R1_0.0,14,
w118_R1_0.5,5,
w118_R1_0.5,6,
w118_R1_0.5,7,
w118_R1_0.5,8,2
w118_R1_0.5,9,13
w118_R1_0.5,10,1
w118_R1_0.5,11,
w118_R1_0.5,12,
w118_R1_0.5,13,
w118_R1_0.5,14,
w118_R1_1.25,5,
w118_R1_1.25,6,
w118_R1_1.25,7,
w118_R1_1.25,8,
w118_R1_1.25,9,8
w118_R1_1.25,10,2
w118_R1_1.25,11,1
w118_R1_1.25,12,1
w118_R1_1.25,13,
w118_R1_1.25,14,
w118_R1_1.5,5,
w118_R1_1.5,6,
w118_R1_1.5,7,
w118_R1_1.5,8,5
w118_R1_1.5,9,1
w118_R1_1.5,10,3
w118_R1_1.5,11,2
w118_R1_1.5,12,
w118_R1_1.5,13,
w118_R1_1.5,14,
w118_R1_1.75,5,
w118_R1_1.75,6,
w118_R1_1.75,7,
w118_R1_1.75,8,1
w118_R1_1.75,9,6
w118_R1_1.75,10,4
w118_R1_1.75,11,
w118_R1_1.75,12,
w118_R1_1.75,13,
w118_R1_1.75,14,
w118_R1_2.25,5,
w118_R1_2.25,6,
w118_R1_2.25,7,
w118_R1_2.25,8,3
w118_R1_2.25,9,5
w118_R1_2.25,10,3
w118_R1_2.25,11,
w118_R1_2.25,12,
w118_R1_2.25,13,
w118_R1_2.25,14,
w118_R1_2.5,5,
w118_R1_2.5,6,
w118_R1_2.5,7,
w118_R1_2.5,8,
w118_R1_2.5,9,1
w118_R1_2.5,10,7
w118_R1_2.5,11,1
w118_R1_2.5,12,
w118_R1_2.5,13,
w118_R1_2.5,14,
w118_R1_3,5,
w118_R1_3,6,
w118_R1_3,7,
w118_R1_3,8,
w118_R1_3,9,2
w118_R1_3,10,3
w118_R1_3,11,
w118_R1_3,12,
w118_R1_3,13,
w118_R1_3,14,
w118_R1_4,5,
w118_R1_4,6,
w118_R1_4,7,
w118_R1_4,8,
w118_R1_4,9,1
w118_R1_4,10,1
w118_R1_4,11,
w118_R1_4,12,
w118_R1_4,13,
w118_R1_4,14,
w118_R1_5,5,
w118_R1_5,6,
w118_R1_5,7,
w118_R1_5,8,
w118_R1_5,9,
w118_R1_5,10,1
w118_R1_5,11,
w118_R1_5,12,
w118_R1_5,13,
w118_R1_5,14,
w118_R2_0.0,5,
w118_R2_0.0,6,
w118_R2_0.0,7,
